"First Name","Last Name","Hire Date"
"Bangqing","Pehl","1996-09-30"
"Francoise","Baik","1996-07-24"
"Perry","Francisci","1996-05-07"
"Ekawit","Schmittgen","1996-11-24"
"Shir","Munck","1996-05-06"
"Richara","Ducloy","1996-12-15"
"Reinhold","Fritzsche","1996-04-28"
"Kellyn","Takanami","1996-01-01"
"Youngkon","Luiz","1996-08-23"
"Tomofumi","Comte","1996-04-17"
"Remko","Erez","1996-08-11"
"Phuoc","Wallrath","1996-08-27"
"Youngkon","Bellone","1996-12-30"
"Tiina","Monkewich","1996-05-08"
"Bartek","Zucker","1996-11-09"
"Moto","Heydon","1996-04-04"
"Tsutomu","Beeson","1996-06-21"
"Aron","Pezzoli","1996-12-06"
"Aimee","Covnot","1996-09-14"
"Spyrose","Lortz","1996-02-01"
"Aleksander","Krohn","1996-01-16"
"Branimir","Serra","1996-12-03"
"Lucien","Dalton","1996-11-04"
"Dines","Jansen","1996-10-10"
"Zejun","Birnbaum","1996-10-06"
"Qingxiang","Mattern","1996-06-07"
"Shuzo","Conti","1996-04-03"
"Wayne","Belinskaya","1996-04-04"
"Elrique","Benner","1996-08-12"
"Insup","Mundy","1996-11-12"
"Zhonghua","Khalil","1996-02-03"
"Tremaine","Thorensen","1996-05-19"
"Poorav","Olivero","1996-02-07"
"Gonzalo","Hanratty","1996-07-10"
"Shahid","Swiss","1996-09-20"
"Luise","Straney","1996-07-22"
"Olivera","Casperson","1996-02-14"
"Aris","Bolsens","1996-02-12"
"Guther","Silva","1996-04-15"
"Yahiko","Cronan","1996-11-28"
"Kien","Skrikant","1996-09-12"
"Keiichiro","Puoti","1996-10-13"
"Christoper","Herbst","1996-12-02"
"Sachin","Ebeling","1996-01-02"
"Marl","Ranka","1996-02-18"
"Ger","Broomell","1996-08-09"
"Sanjay","Beidas","1996-03-13"
"Shunichi","Plessier","1996-02-26"
"Menkae","Pollock","1996-06-17"
"Zijian","Thorelli","1996-08-24"
"Huiqun","Gurbaxani","1996-06-17"
"Susanta","Jayawardene","1996-12-01"
